10013 — Super long sums [UVA]
codeforces.com/contest/120/problem/D (3)
codeforces.com/contest/120/problem/E (3)
codeforces.com/contest/120/problem/F (3)
codeforces.com/contest/121/problem/E (7)
codeforces.com/contest/122/problem/A (1)
codeforces.com/contest/122/problem/B (1)
codeforces.com/contest/122/problem/C (3)
codeforces.com/contest/122/problem/D (4)
codeforces.com/contest/122/problem/D (5)
codeforces.com/contest/123/problem/D (5)
codeforces.com/contest/124/problem/B (3)
codeforces.com/contest/124/problem/C (3)
codeforces.com/contest/124/problem/D (4)
codeforces.com/contest/125/problem/A (1)
codeforces.com/contest/125/problem/C (4)
codeforces.com/contest/125/problem/D (4)
codeforces.com/contest/125/problem/E (5)
codeforces.com/contest/126/problem/D (5)
codeforces.com/contest/127/problem/A (1)
codeforces.com/contest/127/problem/B (1) [EASY]
codeforces.com/contest/128/problem/D (6)
codeforces.com/contest/129/problem/A (1)
codeforces.com/contest/129/problem/B (2)
codeforces.com/contest/129/problem/D (4)
codeforces.com/contest/129/problem/E (5)
codeforces.com/contest/12/problem/A (1)
codeforces.com/contest/12/problem/C (2)
codeforces.com/contest/12/problem/D (4)
codeforces.com/contest/12/problem/E (5)
codeforces.com/contest/131/problem/A (1)
codeforces.com/contest/131/problem/B (2)
codeforces.com/contest/131/problem/C (3)
codeforces.com/contest/131/problem/E (4)
codeforces.com/contest/133/problem/A (1)
codeforces.com/contest/133/problem/B (2)
codeforces.com/contest/133/problem/E (4)
codeforces.com/contest/134/problem/A (1)
codeforces.com/contest/134/problem/B (4)
codeforces.com/contest/136/problem/A (1)
codeforces.com/contest/136/problem/C (3)
codeforces.com/contest/136/problem/D (4)
codeforces.com/contest/137/problem/A (1)
codeforces.com/contest/137/problem/B (1)
codeforces.com/contest/137/problem/C (4)
codeforces.com/contest/137/problem/D (4)
codeforces.com/contest/137/problem/E (4)
codeforces.com/contest/138/problem/D (7)
codeforces.com/contest/139/problem/A (1)
codeforces.com/contest/139/problem/D (4)
codeforces.com/contest/13/problem/C (5)
codeforces.com/contest/13/problem/E
codeforces.com/contest/140/problem/A (3)
codeforces.com/contest/140/problem/C (4)
codeforces.com/contest/141/problem/A (2)
codeforces.com/contest/141/problem/B (3)
codeforces.com/contest/141/problem/C (4)
codeforces.com/contest/141/problem/D (5)
codeforces.com/contest/141/problem/E (6)
codeforces.com/contest/144/problem/C (3)
codeforces.com/contest/144/problem/D (4)
codeforces.com/contest/145/problem/D (7)
codeforces.com/contest/145/problem/E (5)
codeforces.com/contest/146/problem/A (1)
codeforces.com/contest/146/problem/B (2)
codeforces.com/contest/146/problem/C (3)
codeforces.com/contest/146/problem/D (4)
codeforces.com/contest/146/problem/E (5)
codeforces.com/contest/147/problem/A (2)
codeforces.com/contest/147/problem/B (5)
codeforces.com/contest/148/problem/A (2)
codeforces.com/contest/148/problem/B (3)
codeforces.com/contest/148/problem/B (3)
codeforces.com/contest/148/problem/D (4)
codeforces.com/contest/148/problem/E (5)
codeforces.com/contest/149/problem/A (2)
codeforces.com/contest/149/problem/B (3)
codeforces.com/contest/15/problem/C (4)
codeforces.com/contest/15/problem/D (5)
codeforces.com/contest/16/problem/A (1)
codeforces.com/contest/16/problem/B (1)
codeforces.com/contest/16/problem/C (3)
codeforces.com/contest/17/problem/B (3)
codeforces.com/contest/17/problem/C (5)
codeforces.com/contest/17/problem/D (5)
codeforces.com/contest/18/problem/A (2)
